title,review,summary,vader_sentiment,vader_score,topic
These make it much easier for my kids to floss themselves,"These flossbushes make it much easier for my kids to floss themselves. They're somehow just the right size and angle - my 7 and 9 year olds have a hard time with regular floss, and with most disposables. These work great for them - I wish they were more broadly distributed (e.g. our local drugstore doesn't carry them).","These flossbushes make it much easier for my kids to floss themselves. They're somehow just the right size and angle - my 7 and 9 year olds have a hard time with regular floss, and with most disposables. These work great for them - I wish they were more broadly distributed (e.g. our local drugstore doesn't carry them).",positive,0.9001,4
Flawless,"Well I was skeptical as hell about buying from a company I've never heard of, for a product that was 1/5th the cost of what I felt was reasonable. I was completely wrong. In spite of being shipped USPS, it showed up the first day of the delivery window. I plugged it in and snapped on the cover (which actually seems marginally sturdier than the original), charged it... And didn't charge it again for a week. *FLAWLESS*. Dirt cheap bargain basement price, and my talk time went from 20 min (with a bluetooth headset) to over 3 hours... This is a massive amount of bang for the buck. No complaints and I'd make the same purchase in a heartbeat.","Well I was skeptical as hell about buying from a company I've never heard of, for a product that was 1/5th the cost of what I felt was reasonable. I plugged it in and snapped on the cover (which actually seems marginally sturdier than the original), charged it... And didn't charge it again for a week. *FLAWLESS*.",negative,-0.5213,4
The end of the Doogie White era......,"White's come a long way from his stint with Rainbow. I picked up one of his Cornerstone cds, its pretty good. Its a shame Yngwie is now going with Ripper Owens, who I cannot stand. (Listen to Jugulator, you'll see why) White was very good on this, which is stronger than Attack, the previous cd. ""The Bogeyman"" is classic Rising Force, as is the title track. Until Yngwie ditches Owens, this is my last Rising Force cd. Bring back Mark Boals, Soto, Edman or finally do a Turner reunion cd, something. Yngwie was right on track through this album.","Its a shame Yngwie is now going with Ripper Owens, who I cannot stand. (Listen to Jugulator, you'll see why) White was very good on this, which is stronger than Attack, the previous cd. ""The Bogeyman"" is classic Rising Force, as is the title track.",positive,0.6901,6
Type face and pictures too small,"While the illustrations are beautiful, I need a magnifying glass to see them. I had planned to use this book in my Children's Church class but the pictures are too small for a group to see. Even with glasses, I need a magnifyer to read the book.","While the illustrations are beautiful, I need a magnifying glass to see them. I had planned to use this book in my Children's Church class but the pictures are too small for a group to see. Even with glasses, I need a magnifyer to read the book.",positive,0.3506,2
Power Adapter for Apple G4,"The cord works great. It's not as cool looking as the Apple Adapter and it does not have the light indicator, thats all I can say bad about it. Its $50 less than the Apple one so go buy it.","The cord works great. It's not as cool looking as the Apple Adapter and it does not have the light indicator, thats all I can say bad about it. Its $50 less than the Apple one so go buy it.",negative,-0.0931,5
Quit working after 6 uses,"I use the foot spa infrequently, primarily for helping to recover from foot surgery.I've had the unit for over a year, but have used it only about 6 times (and being careful not to add anything to the water per the directions).This morning, I pulled it out, filled it with warm water, plugged it in and started it up in anticipation of helping a foot recover from another, recent operation. The unit worked for about 5 minutes and then the air pump quit functioning properly, making only a clicking sound and providing no air jet flow.The only advice from Brookstone customer service is to take it to a repair shop.I am extremely disappointed that such an expensive unit has failed and requires repair after just 6 uses.","I use the foot spa infrequently, primarily for helping to recover from foot surgery.I've had the unit for over a year, but have used it only about 6 times (and being careful not to add anything to the water per the directions).This morning, I pulled it out, filled it with warm water, plugged it in and started it up in anticipation of helping a foot recover from another, recent operation. The unit worked for about 5 minutes and then the air pump quit functioning properly, making only a clicking sound and providing no air jet flow.The only advice from Brookstone customer service is to take it to a repair shop.I am extremely disappointed that such an expensive unit has failed and requires repair after just 6 uses.",negative,-0.7343,4
"Artistically censored, DO NOT SUPPORT THIS EDITION!","While walking through Barnes and Noble after Christmas, I was wondering how to spend my gift card. By chance, I decided to travel down memory lane and pick up the boxed set of my favorite scary story collections as a child. Horrified (in a bad way), I looked at the shell of the books I once loved as an elementary school child. The original pictures made this collection so unique! For whatever spineless reason, the publisher decided to replace the original ghastly pictures with tame and watered-down versions. Sure, the stories are the same...but the artwork just doesn't fit. It is blasphemy to mess with such perfection. DO NOT SUPPORT THIS VERSION BY PURCHASING IT! Instead, hunt down the originals and buy them. You will be glad you did!","By chance, I decided to travel down memory lane and pick up the boxed set of my favorite scary story collections as a child. Horrified (in a bad way), I looked at the shell of the books I once loved as an elementary school child. For whatever spineless reason, the publisher decided to replace the original ghastly pictures with tame and watered-down versions.",positive,0.8204,4
A half-handed attempt at sociology,"I like Mosley's work, period. Except this. If you've read any Cornel West or Manning Marable, you've already been on this territory before, and seen it done better. Mosley strolls along, picking through whatever happens to catch his eye in the newspaper, it seems, and levels personal comment on it. Okay, but is it interesting? Not to me...and I CARE about the issues he discusses. I live them. The book just didn't tell me anything I didn't know, and you get the feeling he already knows this when you read it.","If you've read any Cornel West or Manning Marable, you've already been on this territory before, and seen it done better. Mosley strolls along, picking through whatever happens to catch his eye in the newspaper, it seems, and levels personal comment on it. The book just didn't tell me anything I didn't know, and you get the feeling he already knows this when you read it.",positive,0.9306,1
DISAPPOINTING-NOT EVEN CLOSE TO HER FORMER BOOKS!,Patricia Cornwall has managed to turn this reader from one who could not wait for her next book to be released to one who is finished reading them. It may suprise her to learn that the sexual orientation of a person only clutters up a good story unless it has DIRECT bearing on the story being told. Lucy needs to get a life and grow up. I really miss the excitement of the her earlier books. I have found this nagging issue true of her last 3 novels.,Patricia Cornwall has managed to turn this reader from one who could not wait for her next book to be released to one who is finished reading them. It may suprise her to learn that the sexual orientation of a person only clutters up a good story unless it has DIRECT bearing on the story being told. I really miss the excitement of the her earlier books.,positive,0.6638,1
Be Careful of What You Wish For,"Obviously, high-school aged people who are ""forced"" into reading this will find it boring and long-winded. What a shame; I hope you all have good teachers who can teach this wonderful book in a way to make it vivid and real for you. Wharton is a rare writer who can take a simple winter's day and turn it into a finely-wrought canvas. The story of Ethan Frome itself is very interesting and I myself read the book from cover to cover in one sitting. The ending is a surprise, and brings to mind the old adage: Be careful of what you wish for. You might get it.Perhaps because this book is almost ninety years old and doesn't have a splashy, gory cover or jacket blurbs from modern hacks, it appears to young people as boring. Again : what a shame. You don't know what you're missing.","What a shame; I hope you all have good teachers who can teach this wonderful book in a way to make it vivid and real for you. Wharton is a rare writer who can take a simple winter's day and turn it into a finely-wrought canvas. You might get it.Perhaps because this book is almost ninety years old and doesn't have a splashy, gory cover or jacket blurbs from modern hacks, it appears to young people as boring.",positive,0.7825,2
Bones,"This product does suck you in Great !! But the bones in here tore back back up, I had all kinds of bruising when I took this off after wearing it all day, they need to make one smooth with out the bones.","This product does suck you in Great ! ! But the bones in here tore back back up, I had all kinds of bruising when I took this off after wearing it all day, they need to make one smooth with out the bones.",positive,0.2924,4
Carmen captures Monk,"We know the feel of Monk. When we walk down a rainy 1 am night, scatting Monk standards, we know the feel of Monk. Mcrae makes those doos and das into lyrics without changing the sentiment we had all along. And with ole' George on bass, bringing up the bottom along with Mcrae, well, two stars just for the names. Great songs, great interpretation, great album- -NV","When we walk down a rainy 1 am night, scatting Monk standards, we know the feel of Monk. And with ole' George on bass, bringing up the bottom along with Mcrae, well, two stars just for the names. Great songs, great interpretation, great album- -NV",positive,0.9337,5
"""FLOATING SKULL, A WEREWOLF BATTLING VAMPIRE WOMEN THROUGH THE HALLS!""",A Double~Creature Marathon you'll love from the Drive~In Golden Age! You can't beat for the price a tormenting skull followed by a full-color Werewolf taking on a sexy gothic Vampiress! Chilling visuals and plenty of gothic settings to satisfy your inner ghoul.,A Double~Creature Marathon you'll love from the Drive~In Golden Age! You can't beat for the price a tormenting skull followed by a full-color Werewolf taking on a sexy gothic Vampiress! Chilling visuals and plenty of gothic settings to satisfy your inner ghoul.,positive,0.8605,5
the worst movie ever,"this movie is the worst movie because its a skin flick that attempts to be deep, and the black stereotypes not only come awkard, but unfunnily","this movie is the worst movie because its a skin flick that attempts to be deep, and the black stereotypes not only come awkard, but unfunnily",negative,-0.6249,3
Broke on 3rd usage,"This tent was actually great for the time that it lasted. Problem is that that was only 2 days. One piece of the flexing plastic poles that form its frame broke, rendering the whole tent unusable. Would recommend paying more for something more robust.","This tent was actually great for the time that it lasted. Problem is that that was only 2 days. One piece of the flexing plastic poles that form its frame broke, rendering the whole tent unusable.",positive,0.2484,4
More elevator music...,"Two or three good songs, the rest are filler. Reminds me of Silver and Gold and a few other recent releases that some people think are ""Timeless Classics"". Greendale was the only worthwhile project from Neil in the last 10 years. It must have sapped his creative juices.Maye we'll never hear the ""old"" Neil again, a depressing thought, but if he's going to keep churning out Wal Mart background music, I wish he'd change his name so I won't be tempted again.Didn't some great musician once say ""Its better to burn out than to fade away?"" My my, hey hey.My love of Neil Young's music goes back to the early 70's in college and my admiration of him personally will never diminish. But his music has taken a change in direction that I no longer enjoy. Boring, tedious, mind-numbing, sing-song, chose your adjective. For anyone that has enjoyed his last few offerings (Greendale excepted), this one is sure to satisfy.","It must have sapped his creative juices.Maye we'll never hear the ""old"" Neil again, a depressing thought, but if he's going to keep churning out Wal Mart background music, I wish he'd change his name so I won't be tempted again.Didn't some great musician once say ""Its better to burn out than to fade away?"" My my, hey hey.My love of Neil Young's music goes back to the early 70's in college and my admiration of him personally will never diminish. Boring, tedious, mind-numbing, sing-song, chose your adjective.",positive,0.9662,8
Do not buy this book,"This book is a total waste of money. maybe one out of the 100 songs included in this book is right. The chord listings are way off, and the songs sound terrible if u try to play them the way they are in the book. i made the mistake of wasting my time and money ordering this book. Dont be like me learn from my mistake. THIS BOOK IS HORRIBLE!","maybe one out of the 100 songs included in this book is right. The chord listings are way off, and the songs sound terrible if u try to play them the way they are in the book. i made the mistake of wasting my time and money ordering this book.",negative,-0.9511,2
Trinity is still my name,this was the wrong video with the same title and was returned and I was reimbursed,this was the wrong video with the same title and was returned and I was reimbursed,negative,-0.4767,7
Very bad buy,"I bought this item 6 months ago and doesn't work now. I have to cut the power to see if im lucky and play a CD when is reconnected. I dont have a near option for send it for service, so I prefer to buy another CD Changer, but of course another brand.","I bought this item 6 months ago and doesn't work now. I have to cut the power to see if im lucky and play a CD when is reconnected. I dont have a near option for send it for service, so I prefer to buy another CD Changer, but of course another brand.",negative,-0.0891,6
Chesapeake Blue is boring,"Chesapeake Blue is boring.The characters are weak,the dialogue forced, the conflict predictable and the resolution a tad too tidy.There is nothing to learn from this book nor is it entertaining. I live on Maryland's Eastern Shore and I can tell you that Ms. Roberts has fallen way short in her descriptive of this beautiful peninsula and its blend of residents. I don't give it any stars but the minimum I can punch in is one. There is not time enough to read all the wonderful books written. Don't wste your time on this one.","Chesapeake Blue is boring.The characters are weak,the dialogue forced, the conflict predictable and the resolution a tad too tidy.There is nothing to learn from this book nor is it entertaining. I live on Maryland's Eastern Shore and I can tell you that Ms. Roberts has fallen way short in her descriptive of this beautiful peninsula and its blend of residents. I don't give it any stars but the minimum I can punch in is one.",positive,0.4783,1
Millions could have written this same book.,"There are a million stories in the naked city. This is one of them.This is a rendition of the author's screwy childhood in some podunk town in Missouri. If the Methodists weren't making his life miserable the Baptists were. So by the time he was 16 years old or so he realized old time religion was a load and that hell was just made up to scare people into being controlled.So, as I said, millions could have written this book. Including moi. Reading this book was kind of like reliving my childhood under the thumb of the Baptists. So I didn't care for it. Too many bad memories.I don't recommend it. Better to ignore religion instead.I've not read any of this author's other books but I did see the movie Gangs of New York and that was quite entertaining so I can only suppose the book is also.","So by the time he was 16 years old or so he realized old time religion was a load and that hell was just made up to scare people into being controlled.So, as I said, millions could have written this book. Reading this book was kind of like reliving my childhood under the thumb of the Baptists. Better to ignore religion instead.I've not read any of this author's other books but I did see the movie Gangs of New York and that was quite entertaining so I can only suppose the book is also.",negative,-0.7912,2
A very Weird But Very Good Sherlock Holmes movie,I love Angst.So I love this movie.This movie couldn't be too far from the Truth...Sorta.ACD wrote that Holmes was an avid user of Cocaine and that in a few of the original Stories Watson tried to get him to leave it.The only thing that I didn't like about the movie was that he got over his addition in one day.The movie also has some very weird withdrawal scenes. But I love the story. And have read the book.if you get a chance read the book before you see or after. The book came out not as a novel of the movie. But the movie was based on the book.It's a very good watch. if you like to see famous literary characters in torment.,I love Angst.So I love this movie.This movie couldn't be too far from the Truth...Sorta.ACD wrote that Holmes was an avid user of Cocaine and that in a few of the original Stories Watson tried to get him to leave it.The only thing that I didn't like about the movie was that he got over his addition in one day.The movie also has some very weird withdrawal scenes. And have read the book.if you get a chance read the book before you see or after. But the movie was based on the book.It's a very good watch.,positive,0.9869,3
Buy this CD...,"...if you want to listen to truly drab, uninspired and talentless material. this has about as much to do with country music as a cab driver from new york city. it just proves the old axiom that most people are a sucker for a pretty face. the songs on here are true bubblegum pop, so if you're 13 and want to tell your boyfriend bobby how much you love him, then go ahead and buy him a copy. otherwise, spend your money on something more worthwhile, like 750 two-cent stamps. this music is an insult to the roots and traditions of country music, and just proves that the corporate record companies are more interested in quantity than quality. we can only hope that her marriage falls apart so she's forced into some real introspection that may or may not inspire some thoughtful material.--Raul Duke","the songs on here are true bubblegum pop, so if you're 13 and want to tell your boyfriend bobby how much you love him, then go ahead and buy him a copy. this music is an insult to the roots and traditions of country music, and just proves that the corporate record companies are more interested in quantity than quality. we can only hope that her marriage falls apart so she's forced into some real introspection that may or may not inspire some thoughtful material.--Raul Duke",positive,0.8076,6
Wonderful Book Wonderful Condition!,"First of all, the book is fantastic! Second of all, I could not ask for it to be in better condition! Even being shipped up to Alaska it came in great time and in great condition. I would recommend this book to everyone!","Second of all, I could not ask for it to be in better condition! Even being shipped up to Alaska it came in great time and in great condition. I would recommend this book to everyone!",positive,0.9794,5
Rare combination of style and substance,"The Bad Sleeps Well is near-perfection: from the showy introduction of the wedding banquet to the riveting conclusion of BAD-man Iwabuchi's (Mori in an almost unrecognisable role) phonecall. The impression here is corruption knows no end --- whichever way you go on the hierarchy of the power structure.Most of the ""Kurosawa familiy"" of actors are here, but Akira Nishimura as Shirai brings a touch of humor (perhaps a perverse kind on the viewer's part) to his torture sequence. Takeshi Kato also gets to express himself more than his role in High and Low allows. Much of the film has a ""Western"" overtone - down to rich playboy Tatsuo's game of hunting, and the interior of the ruined factory that's reminiscent of dungeons in WWII films...oh boy. You won't forget Nishii's (Mifune in restrained mode) whistling - masterfully used here for characterization and musical counterpoint.""He's no man! He's an official!""","The Bad Sleeps Well is near-perfection: from the showy introduction of the wedding banquet to the riveting conclusion of BAD-man Iwabuchi's (Mori in an almost unrecognisable role) phonecall. The impression here is corruption knows no end --- whichever way you go on the hierarchy of the power structure.Most of the ""Kurosawa familiy"" of actors are here, but Akira Nishimura as Shirai brings a touch of humor (perhaps a perverse kind on the viewer's part) to his torture sequence. Much of the film has a ""Western"" overtone - down to rich playboy Tatsuo's game of hunting, and the interior of the ruined factory that's reminiscent of dungeons in WWII films...oh boy.",negative,-0.7867,10
Partially inacurrate - Grobel needs to do more homework!,"Many things written about Collin Green in this book are untrue, and Larry Grobel should have known better after meeting him in person. But apparently he chose to take the word of others without checking out whether it could be true or not, medically. How many other things did Mr. Grobel just take people's word on, without checking them out?!? Collin Green would certainly be justified in suing Mr. Grobel and the publisher to have those things removed from any future printings and is owed an apology!","Many things written about Collin Green in this book are untrue, and Larry Grobel should have known better after meeting him in person. But apparently he chose to take the word of others without checking out whether it could be true or not, medically. Collin Green would certainly be justified in suing Mr. Grobel and the publisher to have those things removed from any future printings and is owed an apology!",positive,0.9039,2
Not so good.,"I have used the rescue brad fly traps and they work well. Because of this I tryed the reuseable trap. I place this trap in the same place I have used the other traps and I had far, far, far less flys in the trap at the end of the week. I went back to the old style and started to catch alot of flys again. In short dont use the reuseable traps if you want to catch alot of flys.","I place this trap in the same place I have used the other traps and I had far, far, far less flys in the trap at the end of the week. I went back to the old style and started to catch alot of flys again. In short dont use the reuseable traps if you want to catch alot of flys.",negative,-0.485,4
Sounds good,Sound quality is good for such an inexpensive item and long enough to let me move freely around in my office. Meets my needs,Sound quality is good for such an inexpensive item and long enough to let me move freely around in my office. Meets my needs,positive,0.8271,9
What a disappointment,"I bought this reluctantly because I needed a pastry blender and this is the only one I could find. After reading the other reviews, I figured it would be fine. Big mistake. The butter pushed the wires around at first, then got stuck all over them rather than actually being blended into my dry ingredients. After two solid minutes of attempting to cut in the butter, I decided I could do better with my fingers. I was done in seconds instead of minutes. I will never use this or any other pastry blender again.","I bought this reluctantly because I needed a pastry blender and this is the only one I could find. Big mistake. After two solid minutes of attempting to cut in the butter, I decided I could do better with my fingers.",negative,-0.6124,4
Poor value for money,"I agree with most people that this is an un-necessary release. It is an obvious attempt to cash in by the holders of the rights. But on the other hand it is also a cheaper alternative to the 'With the lights out box'. I own the box and can honestly say it is definitely worth the extra money to buy that. This doesn't even offer the best of the box anyway, which it clear states in the title. I only bought this because I like to own anything and everything with the Nirvana name on it. I believe Nirvana are the most influencial band since the Beatles and any unheard recording of the bands I must have.Only hardcore fans will want to buy this, it only offers 3 previously unreleased recording of which only two are any good. 'Sappy' and a 1985 recorded version of 'Spank Thru' which surely must be the first ever recording by Nirvana.As far as value for money goes, this doesn't have anything to offer, sadly.","But on the other hand it is also a cheaper alternative to the 'With the lights out box'. This doesn't even offer the best of the box anyway, which it clear states in the title. I believe Nirvana are the most influencial band since the Beatles and any unheard recording of the bands I must have.Only hardcore fans will want to buy this, it only offers 3 previously unreleased recording of which only two are any good.",positive,0.9873,4
Great show,"One of my favorite shows always funny, Nobdy make shows like this anymore.Had a crush on Wrangler Jane.","One of my favorite shows always funny, Nobdy make shows like this anymore.Had a crush on Wrangler Jane.",positive,0.8979,5
Recently Purchased,"Having recently purchased this album, I would HIGHLY recommend it to young punkrockers 12-25. Blasting with distinct style and hardcore beats, I can't stop listening to it. Any teen could relate Mest's mindbending, heartbreaking lyrics. Everyone knows that every party needs some music. Punkrocking to life, every party needs some MEST. If your into the pop-punk styles of Good Charolotte, Lit, MxPx, or the Ataris, you have got to buy this today!! :)","Having recently purchased this album, I would HIGHLY recommend it to young punkrockers 12-25. Punkrocking to life, every party needs some MEST. If your into the pop-punk styles of Good Charolotte, Lit, MxPx, or the Ataris, you have got to buy this today!!",positive,0.9231,8
WIll work with new drivers,"My brother and I have had to split our time on the internet for a while. (He has a desktop which uses an ethernet cable to connect to the internet, while I have a laptop which requires the ethernet cable to be plugged into an airport) So for Christmas, I decided to give him a gift that would please me as well, this wireless adapter. The install was pretty simple, and then we downloaded the drivers. The PC recognized it fine, and recognized my ireless signal, but for some reason, the computer didn't recognize the wireless internet it was providing. We were unable to figure out why. About a week went by of fiddling with different things, like disabling the ethernet card, on the hypothesis that it was still somehow trying to draw internet from that, but even that didn't work. Finally, my brother found some way to install new drivers for the PCI card. After he did this, it worked fine. I hope this review helps anyone that might be having similar troubles.","(He has a desktop which uses an ethernet cable to connect to the internet, while I have a laptop which requires the ethernet cable to be plugged into an airport) So for Christmas, I decided to give him a gift that would please me as well, this wireless adapter. The PC recognized it fine, and recognized my ireless signal, but for some reason, the computer didn't recognize the wireless internet it was providing. About a week went by of fiddling with different things, like disabling the ethernet card, on the hypothesis that it was still somehow trying to draw internet from that, but even that didn't work.",positive,0.8481,4
Deja vu,"LA cop (formerly New York cop) John Maclaine (Bruce Willis) is in Washington DC waiting for his wife's (Bonnie Bedelia) flight to land, when history suddenly repeats itself. Another Christmas. More terrorists. Wife in peril again. More dunderheaded authorities who won't listen to common sense. More crawls through ductwork and hammering fist fights with powerful opponents. More guns. Another very entertaining film.The amazing thing about this movie is the way all these repeated elements play like sly tributes to the original rather than examples of creative poverty. This is no doubt largely due to director Renny Harlin. This was the film that brought him to America's attention for a while before he faded away again. Willis is also uncommonly effective at coming across like an everyman even while he is performing feats that James Bond would be hard-pressed to pull off.","LA cop (formerly New York cop) John Maclaine (Bruce Willis) is in Washington DC waiting for his wife's (Bonnie Bedelia) flight to land, when history suddenly repeats itself. Another very entertaining film.The amazing thing about this movie is the way all these repeated elements play like sly tributes to the original rather than examples of creative poverty. Willis is also uncommonly effective at coming across like an everyman even while he is performing feats that James Bond would be hard-pressed to pull off.",positive,0.9148,7
DONT BUYYYYYYYYYY!!!,Dont give money to these filmakers that later on down the road release a better version of the same movie..If you want extra features this version WILL NOT have it on the disc!! Wait for the deluxe version!,Dont give money to these filmakers that later on down the road release a better version of the same movie..If you want extra features this version WILL NOT have it on the disc!! Wait for the deluxe version!,positive,0.6562,7
OK,"Not sure why it did not work for my Samsung HDTV and Mac book pro hook up. However, it did work for my Sony HDTV and regular HDMI hook up. Not too happy because I have another better quality HDMI cable that works for both set ups. Sticking to the better cable.","Not sure why it did not work for my Samsung HDTV and Mac book pro hook up. However, it did work for my Sony HDTV and regular HDMI hook up. Not too happy because I have another better quality HDMI cable that works for both set ups.",positive,0.5822,4
A refreshingly original and unique mystery thriller,"I didn't expect to be overwhelmed by this book, thinking it would be the typical albeit entertaining murder-mystery novel. Instead I encountered an exceedingly well written story with a warm, likeable protagonist and a plot that truly keeps you wondering until the last chapter. After reading this novel, I have since sought out and read all of Lindsey's novels. If you like a good, gory thriller, you have to read this book.","I didn't expect to be overwhelmed by this book, thinking it would be the typical albeit entertaining murder-mystery novel. Instead I encountered an exceedingly well written story with a warm, likeable protagonist and a plot that truly keeps you wondering until the last chapter. If you like a good, gory thriller, you have to read this book.",positive,0.9733,1
An Awful Book,This book was incredibly boring and depressing. It has almost no plot and it's too predictable.I hated this book and I would not reccomend it to other people.,This book was incredibly boring and depressing. It has almost no plot and it's too predictable.I hated this book and I would not reccomend it to other people.,negative,-0.9269,2
Very small,"This is a small shaker, and I find that the chilling wand takes up too much space in the cup.","This is a small shaker, and I find that the chilling wand takes up too much space in the cup.",neutral,-0.0258,4
But the aliens are cool,"I'm judging this book having read it once, waited a year, and then read it again, and this book did not survive the journey well.Every plot twist was predicted, every villain was a stereotype, everything, everything in this book could be seen in advance or simply mirrored some other book or story, and served only as a pale imitation of the sources it copied. The only good thing in this book were the aliens. Sorry, better luck next time.","I'm judging this book having read it once, waited a year, and then read it again, and this book did not survive the journey well.Every plot twist was predicted, every villain was a stereotype, everything, everything in this book could be seen in advance or simply mirrored some other book or story, and served only as a pale imitation of the sources it copied. The only good thing in this book were the aliens. Sorry, better luck next time.",positive,0.7469,2
"illiterate, unbearable, indecipherable","I found this book on my 'recommended' list and bought it. If this has happened to you: DON'T!! The first sentence was a shock: ""It is amazing what your mind will bring into conscience thought while you drive."" 'Oh, my GOD, I thought. This is a kid who doesn't know the word 'conscious' from 'conscience.' I'm in trouble!' It got much, much worse. So nightmarishly badly penned that I would have believed it was conceived and executed by a 12-year old. Now I have to wonder what I DID to Amazon to make them believe I have such low literary standards!? If you buy this book, no matter how much you enjoy vampire novels or works of naivete, believe me, you won't make it past the first chapter, and THAT will be an agony.If it were possible to rate this a 'zero,' I would. Please send this kid to an English class, QUICKLY. I fear for the sanity of a nation otherwise.","So nightmarishly badly penned that I would have believed it was conceived and executed by a 12-year old. Now I have to wonder what I DID to Amazon to make them believe I have such low literary standards!? If you buy this book, no matter how much you enjoy vampire novels or works of naivete, believe me, you won't make it past the first chapter, and THAT will be an agony.If it were possible to rate this a 'zero,' I would.",negative,-0.6006,4
George Go Home,"George had a good idea, I'll give him that, otherwise the book fell short. Very short. For me the book took a downword turn during the time where Winston started having a love affair with some girl. This girl latter became a thought police inforcer, which surprised me none. I found the book to be a bore of a read and very predictable. My advise to all of you fair readers is to steer clear of this vile book. You will live longer because of it.",For me the book took a downword turn during the time where Winston started having a love affair with some girl. I found the book to be a bore of a read and very predictable. My advise to all of you fair readers is to steer clear of this vile book.,positive,0.7783,2
Pink Princess Poodle,I purchased the Pink Princess Poodle for my niece as a Christmas gift and she absolutely loves it. STUFF IT.. DECORATE IT.. LOVE IT..!!,I purchased the Pink Princess Poodle for my niece as a Christmas gift and she absolutely loves it. STUFF IT.. DECORATE IT.. LOVE IT..!!,positive,0.9247,5
General Books Problem...Not the book,"I ordered this for my daughters birthday and Amazon delivered right on her birthday. My daughter is a huge Oscar Wilde fan! Unfortunately, the book was full of garbage text. It was printed by General Books the day I ordered it. I then requested a replacement. Once again, it was printed the day I made my request and it contained the exact garbage text that the original order contained. Here is an example of the garbage text that this book contained...(Jk*he$. HeL*) This was all throughout the book. Then half the book looked like some bizarre glossary that didn't even belong to this book. The entire book was worthless both times and I requested a refund. I can't give a proper review on the book as it was unreadable!","Once again, it was printed the day I made my request and it contained the exact garbage text that the original order contained. The entire book was worthless both times and I requested a refund. I can't give a proper review on the book as it was unreadable!",positive,0.4738,2
surprisingly well done,"I thought this movie was going to be alot like many other movies of its kind - a police chase action movie. I love Mos Defs character and I love how great his acting was for it, they complimented each other. Bruce Willis does an awesome job, as does the rest of the cop cast.But I especially liked the directing, and how what seems to be an oridinary movie keeps you entertained and captivated in a way like its a new concept. But, it isn't a new concept, and therefore still not anything too special, but definately one of the best in its genre, and deep in a subtle way.","I thought this movie was going to be alot like many other movies of its kind - a police chase action movie. Bruce Willis does an awesome job, as does the rest of the cop cast.But I especially liked the directing, and how what seems to be an oridinary movie keeps you entertained and captivated in a way like its a new concept. But, it isn't a new concept, and therefore still not anything too special, but definately one of the best in its genre, and deep in a subtle way.",positive,0.974,3
Perfect,We took this everywhere we went. It soothed our daugter to sleep and she LOVES the sound of the Ocean it makes. Now that she is a Toddler she enjoys playing with it in her crib while she waits for us to come wake her up.,We took this everywhere we went. It soothed our daugter to sleep and she LOVES the sound of the Ocean it makes. Now that she is a Toddler she enjoys playing with it in her crib while she waits for us to come wake her up.,positive,0.9291,4
Definitely not Laurens' best,"Oh, dear. So many people recommended this book, saying that they had delayed reading it because of the cheesy title, but it was wonderful. In a word, no.Sure, Laurens is the queen of the panting, highly explicit sex scene, but this book took even that to the point of ridiculousness. Not that that's too hard to do. My biggest beef with this book is that the strong, independent heroine became a total wimp every time the hero came near her. Their relationship was about sex not love; I can't see them making it as a lifetime couple. Jack always has to have the upper hand and Kit always gives in the moment he touches her.Silly.The first books in the Cynster series are Laurens' best -- you know, the ones before she starts getting repetitious.","In a word, no.Sure, Laurens is the queen of the panting, highly explicit sex scene, but this book took even that to the point of ridiculousness. My biggest beef with this book is that the strong, independent heroine became a total wimp every time the hero came near her. Jack always has to have the upper hand and Kit always gives in the moment he touches her.Silly.The first books in the Cynster series are Laurens' best -- you know, the ones before she starts getting repetitious.",positive,0.9711,2
Fun Reading,"Having heard about Allan Quartermain forever, I finally decided to try one of his adventures. I was not disappointed. The story, told by Quartermain himself, moves along very naturally. It is a great adventure story, with big battles, tough decisions, quick thinking, and life or death struggles. You do, however, have to have a little appreciation for the fact that it was written in the late 1800's, so some of the plot devices are predictable and the outcomes forseen miles away, but it doesn't detract from the fact that the book is a fun, easy read.","Having heard about Allan Quartermain forever, I finally decided to try one of his adventures. It is a great adventure story, with big battles, tough decisions, quick thinking, and life or death struggles. You do, however, have to have a little appreciation for the fact that it was written in the late 1800's, so some of the plot devices are predictable and the outcomes forseen miles away, but it doesn't detract from the fact that the book is a fun, easy read.",positive,0.9166,1
smelly pens,My kids love these pens. They last and last.I had a set from the late 1970's and I could still color with them.This was our 2nd set for the kids and deffinately will purchase again.,My kids love these pens. They last and last.I had a set from the late 1970's and I could still color with them.This was our 2nd set for the kids and deffinately will purchase again.,positive,0.6369,5
